Runtime,WASM_Runtime,Image,Platform,Iteration,Start Timestamp,Pull Complete Timestamp,Execution Complete Timestamp,Pull Time (s),Container Start to Main Time (s),Main to Elapsed Time (s),Total Execution Time (s),Host Size (MB)
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/amd64",1,1754399589,1754399592,1754399592,2.103,".280",".201",.613,3.41
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/amd64",2,1754399593,1754399595,1754399595,2.023,".555",".200",.601,3.41
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/amd64",3,1754399596,1754399598,1754399599,2.008,".785",".197",.593,3.41
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/amd64",4,1754399599,1754399601,1754399602,1.994,"1.006",".199",.590,3.41
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/amd64",5,1754399602,1754399605,1754399605,2.046,".290",".200",.607,3.41
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/amd64",6,1754399606,1754399608,1754399608,1.985,".506",".199",.589,3.41
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/amd64",7,1754399609,1754399611,1754399612,2.051,".786",".197",.598,3.41
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/amd64",8,1754399612,1754399614,1754399615,2.037,"1.050",".197",.594,3.41
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/amd64",9,1754399615,1754399618,1754399618,2.010,".269",".201",.586,3.41
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/amd64",10,1754399619,1754399621,1754399621,1.994,".482",".196",.584,3.41
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/amd64",1,1754399622,1754399624,1754399625,2.180,".845",".197",.420,0.000
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/amd64",2,1754399625,1754399628,1754399628,2.179,".202",".199",.423,0.000
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/amd64",3,1754399629,1754399631,1754399631,2.181,".561",".198",.411,0.000
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/amd64",4,1754399632,1754399634,1754399635,2.180,".908",".201",.417,0.000
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/amd64",5,1754399635,1754399638,1754399638,2.179,".264",".200",.430,0.000
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/amd64",6,1754399639,1754399641,1754399641,2.182,".645",".198",.439,0.000
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/amd64",7,1754399642,1754399644,1754399645,2.280,"1.129",".200",.434,0.000
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/amd64",8,1754399646,1754399648,1754399648,2.178,".502",".197",.419,0.000
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/amd64",9,1754399649,1754399651,1754399652,2.182,".863",".199",.420,0.000
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/amd64",10,1754399652,1754399655,1754399655,2.181,".223",".198",.401,0.000
