Runtime,WASM_Runtime,Image,Platform,Iteration,Start Timestamp,Pull Complete Timestamp,Execution Complete Timestamp,Pull Time (s),Container Start to Main Time (s),Main to Elapsed Time (s),Total Execution Time (s),Host Size (MB)
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/arm64",1,1754399609,1754399611,1754399612,2.325,"1.282",".236",1.015,3.02
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/arm64",2,1754399613,1754399617,1754399618,3.717,".726",".234",.980,3.02
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/arm64",3,1754399619,1754399621,1754399622,2.429,".930",".231",1.020,3.02
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/arm64",4,1754399623,1754399625,1754399626,2.222,".855",".233",1.007,3.02
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/arm64",5,1754399627,1754399629,1754399630,2.485,"1.128",".242",1.025,3.02
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/arm64",6,1754399631,1754399633,1754399634,2.278,"1.156",".233",1.059,3.02
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/arm64",7,1754399635,1754399637,1754399638,2.343,"1.282",".232",1.078,3.02
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/arm64",8,1754399639,1754399641,1754399642,2.133,"1.196",".232",1.006,3.02
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/arm64",9,1754399643,1754399645,1754399646,2.323,"1.339",".232",1.103,3.02
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/arm64",10,1754399647,1754399649,1754399650,2.197,"1.341",".240",1.092,3.02
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/arm64",1,1754399651,1754399653,1754399654,2.051,"1.088",".229",.657,0.000
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/arm64",2,1754399655,1754399658,1754399658,2.568,".282",".229",.641,0.000
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/arm64",3,1754399659,1754399662,1754399662,2.451,".339",".228",.618,0.000
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/arm64",4,1754399663,1754399665,1754399666,2.285,"1.196",".228",.607,0.000
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/arm64",5,1754399667,1754399669,1754399670,1.960,".736",".228",.609,0.000
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/arm64",6,1754399671,1754399673,1754399673,2.067,".388",".230",.642,0.000
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/arm64",7,1754399674,1754399676,1754399677,1.948,".964",".232",.659,0.000
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/arm64",8,1754399678,1754399680,1754399680,2.039,".596",".229",.627,0.000
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/arm64",9,1754399681,1754399683,1754399684,1.950,"1.152",".228",.653,0.000
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/arm64",10,1754399685,1754399687,1754399688,2.044,".879",".230",.660,0.000
"docker","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",1,1754399689,1754399690,1754399692,1.789,"1.934",".392",1.866,1.64
"docker","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",2,1754399693,1754399695,1754399697,1.805,"1.346",".386",1.882,1.64
"docker","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",3,1754399697,1754399699,1754399701,1.770,"1.718",".388",1.810,1.64
"docker","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",4,1754399702,1754399704,1754399705,1.875,"1.190",".386",1.920,1.64
"docker","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",5,1754399706,1754399708,1754399710,1.940,"2.042",".389",2.155,1.64
"docker","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",6,1754399711,1754399713,1754399715,1.839,"1.542",".390",1.871,1.64
"docker","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",7,1754399716,1754399718,1754399719,2.008,"1.166",".385",1.858,1.64
"docker","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",8,1754399720,1754399722,1754399724,1.808,"1.582",".388",1.878,1.64
"docker","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",9,1754399725,1754399726,1754399728,1.827,"1.978",".388",1.844,1.64
"docker","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",10,1754399729,1754399731,1754399733,1.817,"1.406",".391",1.841,1.64
"containerd","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",1,1754399734,1754399736,1754399737,2.028,".890",".391",1.370,0.000
"containerd","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",2,1754399738,1754399740,1754399741,1.945,"1.138",".391",1.328,0.000
"containerd","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",3,1754399742,1754399744,1754399745,1.934,"1.362",".384",1.382,0.000
"containerd","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",4,1754399746,1754399748,1754399750,1.943,"1.674",".385",1.372,0.000
"containerd","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",5,1754399751,1754399753,1754399754,2.040,"1.014",".384",1.337,0.000
"containerd","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",6,1754399755,1754399757,1754399758,2.036,"1.366",".391",1.351,0.000
"containerd","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",7,1754399759,1754399761,1754399763,2.062,"1.730",".388",1.346,0.000
"containerd","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",8,1754399764,1754399766,1754399767,2.034,"1.066",".386",1.340,0.000
"containerd","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",9,1754399768,1754399770,1754399771,2.020,"1.374",".384",1.360,0.000
"containerd","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",10,1754399772,1754399774,1754399776,2.015,"1.722",".386",1.369,0.000
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",1,1754399777,1754399778,1754399784,1.819,"1.516","5.031",5.971,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",2,1754399785,1754399787,1754399793,1.959,"1.152","5.041",5.943,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",3,1754399794,1754399797,1754399803,2.849,".725","5.084",6.062,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",4,1754399803,1754399805,1754399811,1.889,"1.397","5.088",6.022,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",5,1754399812,1754399814,1754399820,1.725,".856","5.041",5.934,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",6,1754399820,1754399822,1754399828,1.879,"1.395","5.069",5.980,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",7,1754399829,1754399831,1754399837,2.271,"1.383","5.080",6.022,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",8,1754399838,1754399840,1754399846,1.898,"1.083","5.015",5.989,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",9,1754399847,1754399849,1754399855,1.993,".750","5.037",5.925,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",10,1754399855,1754399857,1754399863,1.922,"1.323","5.070",5.937,1.64
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",1,1754399864,1754399867,1754399872,2.618,".573","5.052",5.522,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",2,1754399873,1754399876,1754399881,2.335,".386","5.066",5.482,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",3,1754399882,1754399884,1754399890,2.216,"1.067","5.068",5.503,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",4,1754399891,1754399893,1754399898,2.220,".711","5.075",5.535,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",5,1754399899,1754399902,1754399907,2.324,".547","5.048",5.509,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",6,1754399908,1754399910,1754399916,2.218,"1.244","5.045",5.455,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",7,1754399917,1754399919,1754399925,2.220,".870","5.022",5.508,0.000
