Runtime,Architecture,Image,Platform,Iteration,Start Timestamp,Pull Complete Timestamp,Execution Complete Timestamp,Pull Time (s),Container Start to Main Time (s),Main to Elapsed Time (s),Total Execution Time (s),Host Size (MB),WASM_Runtime
docker,AMD64,docker.io/matsbror/massive-sqlite-native:1.1,linux/amd64,1,1754381924,1754381926,1754381927,2.039,0.719,0.199,0.567,3.41,
docker,AMD64,docker.io/matsbror/massive-sqlite-native:1.1,linux/amd64,2,1754381927,1754381929,1754381930,2.008,0.948,0.198,0.593,3.41,
docker,AMD64,docker.io/matsbror/massive-sqlite-native:1.1,linux/amd64,3,1754381930,1754381932,1754381933,1.999,1.175,0.199,0.604,3.41,
docker,AMD64,docker.io/matsbror/massive-sqlite-native:1.1,linux/amd64,4,1754381934,1754381936,1754381936,2.072,0.456,0.197,0.588,3.41,
docker,AMD64,docker.io/matsbror/massive-sqlite-native:1.1,linux/amd64,5,1754381937,1754381939,1754381940,2.092,0.776,0.198,0.601,3.41,
docker,AMD64,docker.io/matsbror/massive-sqlite-native:1.1,linux/amd64,6,1754381940,1754381942,1754381943,2.021,1.007,0.199,0.587,3.41,
docker,AMD64,docker.io/matsbror/massive-sqlite-native:1.1,linux/amd64,7,1754381943,1754381945,1754381946,2.002,1.203,0.197,0.563,3.41,
docker,AMD64,docker.io/matsbror/massive-sqlite-native:1.1,linux/amd64,8,1754381947,1754381949,1754381949,2.206,0.632,0.199,0.612,3.41,
docker,AMD64,docker.io/matsbror/massive-sqlite-native:1.1,linux/amd64,9,1754381950,1754381952,1754381953,2.048,0.933,0.198,0.624,3.41,
docker,AMD64,docker.io/matsbror/massive-sqlite-native:1.1,linux/amd64,10,1754381953,1754381960,1754381961,7.099,1.283,0.196,0.616,3.41,
containerd,AMD64,docker.io/matsbror/massive-sqlite-native:1.1,linux/amd64,1,1754381962,1754381964,1754381964,1.882,0.261,0.198,0.39,0.0,
containerd,AMD64,docker.io/matsbror/massive-sqlite-native:1.1,linux/amd64,2,1754381965,1754381967,1754381967,1.879,0.226,0.198,0.39,0.0,
containerd,AMD64,docker.io/matsbror/massive-sqlite-native:1.1,linux/amd64,3,1754381968,1754381970,1754381970,1.879,0.195,0.197,0.4,0.0,
containerd,AMD64,docker.io/matsbror/massive-sqlite-native:1.1,linux/amd64,4,1754381971,1754381973,1754381973,1.882,0.174,0.195,0.391,0.0,
containerd,AMD64,docker.io/matsbror/massive-sqlite-native:1.1,linux/amd64,5,1754381974,1754381975,1754381976,1.779,1.043,0.195,0.395,0.0,
