Runtime,WASM_Runtime,Image,Platform,Iteration,Start Timestamp,Pull Complete Timestamp,Execution Complete Timestamp,Pull Time (s),Container Start to Main Time (s),Main to Elapsed Time (s),Total Execution Time (s),Host Size (MB)
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/riscv64",1,1754399636,1754399639,1754399645,2.814,"4.373","1.266",5.970,2.63
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/riscv64",2,1754399646,1754399649,1754399652,2.955,"1.543","1.273",3.191,2.63
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/riscv64",3,1754399653,1754399656,1754399659,3.153,"1.761","1.267",3.080,2.63
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/riscv64",4,1754399660,1754399663,1754399666,2.698,"1.576","1.270",3.226,2.63
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/riscv64",5,1754399667,1754399670,1754399673,2.845,"1.792","1.269",3.049,2.63
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/riscv64",6,1754399674,1754399677,1754399680,2.800,"1.712","1.269",3.133,2.63
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/riscv64",7,1754399681,1754399684,1754399687,2.888,"1.865","1.272",3.248,2.63
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/riscv64",8,1754399688,1754399691,1754399694,2.663,"1.616","1.267",3.093,2.63
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/riscv64",9,1754399695,1754399697,1754399701,2.558,"2.218","1.269",3.222,2.63
"docker","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/riscv64",10,1754399702,1754399704,1754399708,2.608,"2.368","1.269",3.219,2.63
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/riscv64",1,1754399709,1754399712,1754399714,2.548,".781","1.269",2.392,0.000
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/riscv64",2,1754399716,1754399718,1754399721,2.649,"1.273","1.271",2.343,0.000
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/riscv64",3,1754399722,1754399725,1754399727,3.049,"1.100","1.268",2.299,0.000
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/riscv64",4,1754399729,1754399732,1754399734,2.803,".675","1.270",2.394,0.000
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/riscv64",5,1754399735,1754399738,1754399741,2.745,"1.205","1.267",2.346,0.000
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/riscv64",6,1754399742,1754399745,1754399747,2.847,".860","1.267",2.352,0.000
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/riscv64",7,1754399749,1754399752,1754399763,3.246,".894","1.268",10.843,0.000
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/riscv64",8,1754399764,1754399767,1754399769,2.643,".803","1.266",2.339,0.000
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/riscv64",9,1754399771,1754399773,1754399776,2.647,"1.220","1.266",2.337,0.000
"containerd","N/A","docker.io/matsbror/massive-sqlite-native:1.1","linux/riscv64",10,1754399777,1754399780,1754399782,2.752,".742","1.269",2.344,0.000
"docker","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",1,1754399783,1754399785,1754399838,2.085,"37.344","3.949",52.746,1.64
"docker","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",2,1754399839,1754399841,1754399880,2.061,"34.057","3.964",38.542,1.64
"docker","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",3,1754399881,1754399883,1754399933,2.263,"39.575","3.955",49.823,1.64
"docker","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",4,1754399934,1754399936,1754399976,2.189,"33.750","3.974",39.866,1.64
